,precision,recall,f1-score,support
caminando,0.2,0.16666666666666666,0.18181818181818182,12.0
correr,0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0
girando,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.0
quieto,0.8,1.0,0.8888888888888888,12.0
saltar,0.16666666666666666,0.16666666666666666,0.16666666666666666,12.0
accuracy,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.38333333333333336
macro avg,0.35757575757575755,0.38333333333333336,0.3677646025472112,60.0
weighted avg,0.3575757575757576,0.38333333333333336,0.3677646025472112,60.0
